Category,Activity,Start_Time
Well-being,Meditation/Yoga,13.49
Extracurricular,Volunteer Activities,14.3
Extracurricular,Sports Practices/Games,17.99
Academic,Exams/Quizzes,18.95
Social,Family Events,14.59
Well-being,Exercise,6.29
Well-being,Exercise,6.81
Extracurricular,Sports Practices/Games,17.62
Extracurricular,Volunteer Activities,14.8
Work,Part-time Job Shifts,10.45
Social,Parties/Gatherings,22.33
Personal,Doctor/Dentist Appointments,11.81
Extracurricular,Club Meetings,20.7
Well-being,Meditation/Yoga,13.5
Social,Family Events,14.88
Personal,Doctor/Dentist Appointments,10.0
Personal,Doctor/Dentist Appointments,10.94
Work,Work Meetings,16.1
Work,Work Meetings,16.83
Work,Work Meetings,15.21
Extracurricular,Sports Practices/Games,16.23
Extracurricular,Sports Practices/Games,17.92
Social,Parties/Gatherings,21.01
Social,Parties/Gatherings,21.91
Work,Part-time Job Shifts,10.35
Personal,Doctor/Dentist Appointments,11.18
Well-being,Meditation/Yoga,14.91
Extracurricular,Sports Practices/Games,16.74
Academic,Classes/Lectures,11.0
Social,Parties/Gatherings,21.05
Social,Parties/Gatherings,22.08
Social,Family Events,14.99
Work,Work Meetings,16.0
Work,Work Meetings,16.37
Social,Parties/Gatherings,21.73
Well-being,Exercise,6.02
Work,Part-time Job Shifts,9.98
Personal,Doctor/Dentist Appointments,9.52
Extracurricular,Club Meetings,20.39
Work,Work Meetings,15.68
Social,Parties/Gatherings,21.43
Academic,Exams/Quizzes,19.91
Work,Work Meetings,15.1
Well-being,Meditation/Yoga,14.47
Social,Parties/Gatherings,21.38
Academic,Exams/Quizzes,18.24
Social,Parties/Gatherings,21.56
Personal,Errands/Chores,18.98
Social,Family Events,14.96
Extracurricular,Volunteer Activities,14.78
Academic,Study Sessions,14.05
Academic,Study Sessions,13.04
Social,Parties/Gatherings,21.14
Work,Work Meetings,16.65
Social,Family Events,14.5
Extracurricular,Volunteer Activities,14.86
Work,Part-time Job Shifts,12.33
Academic,Exams/Quizzes,19.91
Extracurricular,Volunteer Activities,14.06
Work,Work Meetings,16.25
Work,Part-time Job Shifts,11.02
Well-being,Exercise,7.26
Work,Part-time Job Shifts,9.28
Social,Parties/Gatherings,21.01
Personal,Doctor/Dentist Appointments,9.58
Work,Part-time Job Shifts,12.82
Work,Work Meetings,15.34
Work,Part-time Job Shifts,12.29
Well-being,Exercise,6.39
Social,Parties/Gatherings,21.6
Work,Work Meetings,16.27
Social,Parties/Gatherings,22.43
Academic,Study Sessions,14.69
Academic,Study Sessions,14.52
Work,Work Meetings,15.73
Personal,Birthdays/Anniversaries,14.5
Social,Parties/Gatherings,22.5
Extracurricular,Volunteer Activities,14.15
Extracurricular,Volunteer Activities,14.24
Social,Parties/Gatherings,22.52
Work,Work Meetings,16.86
Extracurricular,Sports Practices/Games,16.89
Extracurricular,Volunteer Activities,14.08
Well-being,Exercise,7.14
Social,Parties/Gatherings,22.84
Extracurricular,Club Meetings,20.59
Extracurricular,Sports Practices/Games,17.84
Work,Work Meetings,16.79
Personal,Errands/Chores,19.25
Academic,Exams/Quizzes,18.22
Extracurricular,Volunteer Activities,14.53
Extracurricular,Club Meetings,19.92
Well-being,Exercise,7.06
Well-being,Exercise,6.56
Academic,Classes/Lectures,8.63
Social,Parties/Gatherings,21.82
Social,Family Events,14.6
Social,Family Events,14.93
Personal,Birthdays/Anniversaries,14.42
Social,Family Events,14.21
Social,Family Events,14.93
Academic,Study Sessions,14.64
Well-being,Exercise,6.51
Well-being,Meditation/Yoga,14.4
Personal,Doctor/Dentist Appointments,9.23
Social,Parties/Gatherings,22.54
Extracurricular,Volunteer Activities,14.82
Social,Parties/Gatherings,22.95
Academic,Classes/Lectures,10.81
Extracurricular,Volunteer Activities,14.57
Social,Family Events,14.46
Personal,Birthdays/Anniversaries,14.12
Extracurricular,Club Meetings,20.37
Well-being,Exercise,7.62
Extracurricular,Sports Practices/Games,17.2
Well-being,Exercise,6.02
Academic,Study Sessions,14.38
Academic,Classes/Lectures,10.65
Work,Part-time Job Shifts,11.37
Personal,Doctor/Dentist Appointments,9.37
Work,Part-time Job Shifts,12.5
Academic,Classes/Lectures,10.09
Personal,Errands/Chores,18.88
Academic,Study Sessions,13.37
Social,Parties/Gatherings,22.19
Social,Family Events,14.78
Extracurricular,Club Meetings,19.98
Extracurricular,Club Meetings,20.04
Academic,Exams/Quizzes,19.36
Academic,Exams/Quizzes,19.17
Academic,Classes/Lectures,11.94
Social,Family Events,14.29
Personal,Errands/Chores,20.0
Extracurricular,Sports Practices/Games,17.8
Work,Part-time Job Shifts,9.97
Extracurricular,Club Meetings,20.08
Well-being,Meditation/Yoga,14.28
Academic,Study Sessions,14.37
Social,Parties/Gatherings,22.1
Well-being,Meditation/Yoga,13.42
Extracurricular,Volunteer Activities,14.19
Well-being,Meditation/Yoga,14.86
Personal,Errands/Chores,18.19
Work,Part-time Job Shifts,12.41
Social,Parties/Gatherings,21.8
Social,Family Events,14.89
Social,Parties/Gatherings,21.6
Work,Work Meetings,15.62
Extracurricular,Sports Practices/Games,17.83
Work,Part-time Job Shifts,12.19
Personal,Doctor/Dentist Appointments,9.78
Extracurricular,Sports Practices/Games,16.88
Personal,Doctor/Dentist Appointments,10.53
Well-being,Exercise,7.93
Academic,Study Sessions,13.36
Extracurricular,Sports Practices/Games,17.93
Extracurricular,Sports Practices/Games,17.47
Personal,Birthdays/Anniversaries,15.0
Personal,Errands/Chores,18.05
Extracurricular,Volunteer Activities,14.18
Academic,Study Sessions,13.19
Academic,Exams/Quizzes,18.29
Extracurricular,Volunteer Activities,14.01
Work,Part-time Job Shifts,11.55
Personal,Errands/Chores,19.03
Social,Family Events,14.56
Work,Part-time Job Shifts,11.49
Extracurricular,Sports Practices/Games,17.79
Extracurricular,Volunteer Activities,14.07
Academic,Classes/Lectures,9.41
Academic,Classes/Lectures,9.42
Work,Work Meetings,16.44
Academic,Study Sessions,14.0
Social,Family Events,14.01
Academic,Exams/Quizzes,18.1
Personal,Errands/Chores,18.95
Work,Part-time Job Shifts,12.61
Personal,Doctor/Dentist Appointments,11.64
Social,Family Events,14.9
Well-being,Exercise,6.67
Academic,Study Sessions,13.39
Extracurricular,Sports Practices/Games,16.73
Social,Family Events,14.58
Well-being,Exercise,6.55
Social,Parties/Gatherings,22.29
Extracurricular,Volunteer Activities,14.56
Well-being,Meditation/Yoga,13.24
Academic,Study Sessions,13.06
Academic,Study Sessions,14.36
Personal,Errands/Chores,18.26
Social,Family Events,14.87
Work,Part-time Job Shifts,10.32
Personal,Doctor/Dentist Appointments,11.99
Work,Work Meetings,16.3
Well-being,Exercise,7.79
Personal,Errands/Chores,19.38
Academic,Classes/Lectures,8.23
Academic,Exams/Quizzes,19.86
Work,Work Meetings,16.27
Social,Parties/Gatherings,22.15
Well-being,Exercise,7.85
Well-being,Exercise,6.06
Academic,Exams/Quizzes,19.31
Academic,Exams/Quizzes,19.42
Academic,Classes/Lectures,9.15
Social,Parties/Gatherings,21.85
Extracurricular,Volunteer Activities,14.99
Work,Work Meetings,16.25
Academic,Study Sessions,14.52
Extracurricular,Volunteer Activities,14.95
Academic,Exams/Quizzes,18.66
Extracurricular,Club Meetings,19.79
Academic,Classes/Lectures,10.72
Extracurricular,Sports Practices/Games,17.82
Academic,Classes/Lectures,8.08
Extracurricular,Sports Practices/Games,16.51
Personal,Birthdays/Anniversaries,14.04
Academic,Classes/Lectures,10.35
Social,Parties/Gatherings,21.81
Social,Parties/Gatherings,22.67
Social,Family Events,14.73
Social,Parties/Gatherings,21.22
Well-being,Exercise,7.36
Academic,Study Sessions,13.73
Social,Parties/Gatherings,21.25
Academic,Study Sessions,13.37
Academic,Classes/Lectures,8.3
Personal,Errands/Chores,19.92
Personal,Birthdays/Anniversaries,14.59
Academic,Study Sessions,13.12
Academic,Classes/Lectures,9.01
Social,Parties/Gatherings,21.09
Extracurricular,Club Meetings,20.26
Well-being,Exercise,7.93
Extracurricular,Volunteer Activities,14.74
Extracurricular,Volunteer Activities,14.03
Extracurricular,Sports Practices/Games,16.36
Well-being,Meditation/Yoga,13.96
Personal,Errands/Chores,19.4
Social,Family Events,14.51
Well-being,Meditation/Yoga,14.5
Academic,Classes/Lectures,9.69
Social,Parties/Gatherings,21.04
Work,Work Meetings,15.11
Personal,Errands/Chores,18.08
Social,Family Events,14.51
Work,Part-time Job Shifts,11.29
Social,Family Events,14.74
Extracurricular,Volunteer Activities,14.69
Work,Work Meetings,16.04
Extracurricular,Sports Practices/Games,17.62
Well-being,Meditation/Yoga,13.44
Social,Family Events,14.21
Extracurricular,Club Meetings,19.05
Academic,Classes/Lectures,8.87
Personal,Doctor/Dentist Appointments,10.76
Well-being,Exercise,7.43
Well-being,Meditation/Yoga,14.81
Well-being,Meditation/Yoga,13.41
Personal,Birthdays/Anniversaries,14.82
Well-being,Meditation/Yoga,13.84
Social,Parties/Gatherings,22.24
Extracurricular,Club Meetings,20.2
Personal,Errands/Chores,18.35
Personal,Birthdays/Anniversaries,14.11
Extracurricular,Volunteer Activities,14.53
Personal,Errands/Chores,19.47
Personal,Birthdays/Anniversaries,14.33
Extracurricular,Volunteer Activities,14.68
Extracurricular,Club Meetings,19.83
Personal,Errands/Chores,19.58
Social,Family Events,14.04
Work,Work Meetings,16.98
Social,Family Events,14.24
Academic,Exams/Quizzes,19.71
Academic,Classes/Lectures,8.17
Well-being,Meditation/Yoga,14.03
Work,Work Meetings,16.67
Academic,Exams/Quizzes,19.88
Well-being,Meditation/Yoga,13.36
Academic,Study Sessions,13.96
Work,Part-time Job Shifts,9.14
Academic,Exams/Quizzes,18.91
Academic,Classes/Lectures,10.27
Extracurricular,Sports Practices/Games,17.6
Personal,Doctor/Dentist Appointments,10.39
Academic,Classes/Lectures,8.34
Work,Part-time Job Shifts,10.13
Academic,Exams/Quizzes,18.29
Social,Parties/Gatherings,21.35
Well-being,Meditation/Yoga,13.24
Extracurricular,Volunteer Activities,14.34
Personal,Errands/Chores,18.48
Academic,Exams/Quizzes,19.23
Work,Work Meetings,16.55
Academic,Classes/Lectures,10.25
Well-being,Exercise,6.23
Well-being,Exercise,6.8
Extracurricular,Volunteer Activities,14.86
Social,Parties/Gatherings,22.09
Social,Family Events,14.12
Work,Part-time Job Shifts,9.79
Academic,Classes/Lectures,11.71
Extracurricular,Sports Practices/Games,17.59
Work,Part-time Job Shifts,12.76
Social,Parties/Gatherings,21.57
Work,Part-time Job Shifts,11.45
Social,Parties/Gatherings,22.24
Social,Family Events,14.71
Personal,Birthdays/Anniversaries,14.22
Academic,Exams/Quizzes,19.85
Extracurricular,Sports Practices/Games,16.6
Work,Part-time Job Shifts,12.57
Personal,Errands/Chores,18.16
Extracurricular,Sports Practices/Games,16.91
Social,Parties/Gatherings,22.62
Extracurricular,Sports Practices/Games,16.19
Social,Family Events,14.68
Social,Parties/Gatherings,21.14
Work,Part-time Job Shifts,10.45
Work,Part-time Job Shifts,11.09
Work,Part-time Job Shifts,10.34
Personal,Birthdays/Anniversaries,14.83
Personal,Doctor/Dentist Appointments,9.98
Personal,Birthdays/Anniversaries,14.81
Personal,Errands/Chores,19.53
Well-being,Exercise,6.72
Extracurricular,Volunteer Activities,14.67
Personal,Errands/Chores,19.34
Personal,Doctor/Dentist Appointments,9.22
Social,Parties/Gatherings,21.4
Well-being,Meditation/Yoga,13.23
Well-being,Exercise,6.76
Social,Parties/Gatherings,21.34
Social,Parties/Gatherings,21.84
Personal,Birthdays/Anniversaries,14.34
Extracurricular,Sports Practices/Games,16.13
Work,Work Meetings,15.77
Work,Work Meetings,16.17
Social,Parties/Gatherings,22.88
Work,Part-time Job Shifts,11.22
Extracurricular,Sports Practices/Games,17.11
Work,Part-time Job Shifts,11.22
Well-being,Meditation/Yoga,13.23
Personal,Errands/Chores,18.48
Well-being,Meditation/Yoga,13.47
Work,Work Meetings,15.71
Work,Work Meetings,15.52
Work,Part-time Job Shifts,9.64
Work,Work Meetings,15.51
Social,Parties/Gatherings,21.91
Personal,Errands/Chores,18.96
Social,Family Events,14.72
Work,Work Meetings,16.5
Extracurricular,Sports Practices/Games,17.45
Personal,Birthdays/Anniversaries,14.71
Well-being,Exercise,7.85
Social,Family Events,14.75
Well-being,Exercise,6.85
Social,Parties/Gatherings,22.74
Personal,Doctor/Dentist Appointments,9.69
Personal,Birthdays/Anniversaries,14.09
Social,Parties/Gatherings,22.3
Social,Parties/Gatherings,22.11
Personal,Doctor/Dentist Appointments,10.68
Academic,Study Sessions,14.28
Academic,Exams/Quizzes,19.96
Well-being,Meditation/Yoga,14.96
Personal,Errands/Chores,19.26
Work,Work Meetings,16.1
Extracurricular,Sports Practices/Games,16.37
Work,Work Meetings,16.87
Academic,Study Sessions,13.6
Personal,Birthdays/Anniversaries,14.37
Academic,Exams/Quizzes,18.94
Work,Part-time Job Shifts,10.88
Work,Part-time Job Shifts,11.51
Social,Parties/Gatherings,21.77
Academic,Study Sessions,13.78
Social,Family Events,14.11
Academic,Classes/Lectures,11.4
Work,Work Meetings,15.22
Work,Work Meetings,15.45
Extracurricular,Volunteer Activities,14.34
Personal,Birthdays/Anniversaries,14.06
Extracurricular,Club Meetings,19.41
Academic,Exams/Quizzes,19.34
Extracurricular,Sports Practices/Games,17.1
Social,Family Events,14.58
Extracurricular,Club Meetings,19.52
Work,Part-time Job Shifts,9.57
Well-being,Meditation/Yoga,14.03
Work,Work Meetings,15.69
Well-being,Meditation/Yoga,14.41
Well-being,Meditation/Yoga,14.72
Work,Part-time Job Shifts,12.25
Extracurricular,Club Meetings,20.93
Social,Family Events,14.02
Academic,Classes/Lectures,11.4
Academic,Classes/Lectures,11.52
Work,Part-time Job Shifts,10.18
Personal,Errands/Chores,19.44
Extracurricular,Volunteer Activities,14.63
Work,Part-time Job Shifts,10.99
Personal,Birthdays/Anniversaries,14.83
Well-being,Exercise,6.19
Academic,Study Sessions,14.92
Work,Part-time Job Shifts,9.77
Well-being,Exercise,6.11
Extracurricular,Volunteer Activities,14.55
Well-being,Exercise,6.25
Academic,Study Sessions,14.68
Academic,Study Sessions,14.57
Social,Parties/Gatherings,21.06
Well-being,Meditation/Yoga,13.58
Work,Work Meetings,16.24
Work,Part-time Job Shifts,11.09
Social,Family Events,14.16
Academic,Study Sessions,14.98
Extracurricular,Club Meetings,20.47
Work,Part-time Job Shifts,11.53
Extracurricular,Sports Practices/Games,16.8
Academic,Study Sessions,13.24
Work,Part-time Job Shifts,11.34
Extracurricular,Club Meetings,20.86
Extracurricular,Club Meetings,19.7
Extracurricular,Volunteer Activities,14.34
Social,Family Events,14.45
Academic,Classes/Lectures,8.79
Well-being,Meditation/Yoga,14.8
Academic,Study Sessions,13.97
Extracurricular,Volunteer Activities,14.44
Work,Work Meetings,16.53
Work,Part-time Job Shifts,9.13
Well-being,Meditation/Yoga,14.11
Well-being,Exercise,6.43
Work,Part-time Job Shifts,12.74
Social,Family Events,14.89
Work,Part-time Job Shifts,10.48
Personal,Errands/Chores,18.44
Academic,Classes/Lectures,10.75
Academic,Exams/Quizzes,19.02
Social,Parties/Gatherings,22.23
Personal,Errands/Chores,19.47
Well-being,Exercise,7.2
Personal,Birthdays/Anniversaries,14.14
Academic,Classes/Lectures,8.83
Social,Parties/Gatherings,21.2
Personal,Errands/Chores,19.47
Work,Work Meetings,15.63
Academic,Study Sessions,13.57
Academic,Classes/Lectures,11.8
Well-being,Exercise,7.68
Social,Family Events,14.42
Work,Part-time Job Shifts,12.92
Academic,Exams/Quizzes,18.34
Well-being,Exercise,7.59
Work,Part-time Job Shifts,11.78
Extracurricular,Volunteer Activities,14.91
Academic,Study Sessions,13.53
Personal,Errands/Chores,18.55
Personal,Birthdays/Anniversaries,14.33
Academic,Study Sessions,13.5
Well-being,Meditation/Yoga,14.24
Well-being,Meditation/Yoga,14.9
Extracurricular,Volunteer Activities,14.43
Work,Work Meetings,16.54
Well-being,Meditation/Yoga,14.26
Work,Part-time Job Shifts,12.55
Extracurricular,Volunteer Activities,14.23
Social,Parties/Gatherings,21.95
Work,Work Meetings,16.43
Extracurricular,Volunteer Activities,14.0
Personal,Errands/Chores,18.05
Personal,Doctor/Dentist Appointments,11.25
Well-being,Meditation/Yoga,13.25
Well-being,Exercise,7.37
Well-being,Meditation/Yoga,13.08
Social,Parties/Gatherings,22.68
Personal,Errands/Chores,18.25
Personal,Birthdays/Anniversaries,14.81
Work,Work Meetings,15.49
Extracurricular,Club Meetings,19.77
Work,Work Meetings,15.96
Well-being,Meditation/Yoga,13.19
Personal,Errands/Chores,18.5
Work,Work Meetings,16.05
Academic,Exams/Quizzes,18.02
Work,Part-time Job Shifts,10.21
Extracurricular,Volunteer Activities,14.86
Well-being,Exercise,6.03
Academic,Classes/Lectures,9.02
Extracurricular,Club Meetings,19.68
Academic,Study Sessions,13.94
Academic,Classes/Lectures,9.89
Well-being,Exercise,6.17
Personal,Doctor/Dentist Appointments,9.46
Personal,Doctor/Dentist Appointments,11.31
Social,Parties/Gatherings,21.97
Extracurricular,Club Meetings,19.52
Work,Part-time Job Shifts,11.49
Social,Family Events,14.46
Social,Family Events,14.34
Well-being,Meditation/Yoga,14.21
Well-being,Exercise,6.15
Well-being,Exercise,7.81
Personal,Errands/Chores,19.16
Academic,Study Sessions,14.08
Personal,Errands/Chores,19.07
Social,Family Events,14.26
Academic,Study Sessions,13.21
Social,Parties/Gatherings,21.78
Social,Parties/Gatherings,22.73
Academic,Exams/Quizzes,18.1
Social,Family Events,14.72
Extracurricular,Volunteer Activities,14.05
Social,Family Events,14.34
Well-being,Meditation/Yoga,13.89
Work,Work Meetings,16.66
Work,Part-time Job Shifts,11.19
Personal,Errands/Chores,18.12
Social,Family Events,14.45
Extracurricular,Sports Practices/Games,17.45
Extracurricular,Club Meetings,20.76
Well-being,Meditation/Yoga,14.42
Personal,Doctor/Dentist Appointments,10.2
Extracurricular,Club Meetings,19.97
Academic,Exams/Quizzes,19.36
Extracurricular,Sports Practices/Games,17.9
Well-being,Exercise,7.17
Work,Work Meetings,16.69
Academic,Classes/Lectures,10.87
Personal,Errands/Chores,18.38
Extracurricular,Volunteer Activities,14.6
Personal,Errands/Chores,18.31
Personal,Doctor/Dentist Appointments,10.39
Academic,Exams/Quizzes,18.68
Extracurricular,Volunteer Activities,14.02
Work,Part-time Job Shifts,11.65
Personal,Errands/Chores,19.35
Social,Parties/Gatherings,22.87
Social,Parties/Gatherings,22.7
Work,Work Meetings,15.08
Social,Parties/Gatherings,22.52
Personal,Doctor/Dentist Appointments,10.71
Work,Work Meetings,16.28
Extracurricular,Volunteer Activities,14.56
Academic,Classes/Lectures,11.47
Personal,Errands/Chores,18.57
Academic,Classes/Lectures,10.19
Work,Part-time Job Shifts,11.63
Work,Work Meetings,16.99
Well-being,Exercise,7.24
Social,Parties/Gatherings,21.28
Well-being,Exercise,7.83
Well-being,Meditation/Yoga,13.97
Work,Work Meetings,15.4
Social,Family Events,14.32
Well-being,Exercise,6.42
Extracurricular,Club Meetings,20.86
Personal,Errands/Chores,18.33
Work,Work Meetings,15.88
Academic,Classes/Lectures,11.41
Extracurricular,Club Meetings,20.8
Well-being,Exercise,6.38
Work,Work Meetings,15.77
Personal,Errands/Chores,18.22
Academic,Study Sessions,14.72
Well-being,Meditation/Yoga,14.41
Work,Work Meetings,16.26
Social,Parties/Gatherings,22.32
Extracurricular,Volunteer Activities,14.7
Personal,Birthdays/Anniversaries,14.93
Personal,Doctor/Dentist Appointments,9.22
Extracurricular,Club Meetings,19.41
Academic,Exams/Quizzes,18.18
Academic,Study Sessions,13.66
Personal,Errands/Chores,19.49
Social,Family Events,14.07
Academic,Exams/Quizzes,19.88
Extracurricular,Club Meetings,19.81
Extracurricular,Sports Practices/Games,16.32
Work,Part-time Job Shifts,9.94
Personal,Doctor/Dentist Appointments,9.02
Work,Work Meetings,15.96
Academic,Classes/Lectures,8.55
Academic,Classes/Lectures,8.59
Work,Part-time Job Shifts,9.49
Academic,Study Sessions,13.68
Work,Work Meetings,15.63
Social,Parties/Gatherings,22.89
Academic,Study Sessions,14.02
Social,Family Events,14.22
Social,Parties/Gatherings,21.83
Well-being,Exercise,7.03
Academic,Study Sessions,13.84
Work,Work Meetings,16.24
Work,Part-time Job Shifts,11.27
Extracurricular,Club Meetings,19.35
Social,Parties/Gatherings,21.75
Social,Family Events,14.44
Well-being,Meditation/Yoga,13.04
Personal,Birthdays/Anniversaries,14.25
Work,Part-time Job Shifts,10.34
Extracurricular,Volunteer Activities,14.34
Social,Family Events,14.97
Social,Family Events,14.27
Well-being,Meditation/Yoga,14.52
Personal,Doctor/Dentist Appointments,11.8
Well-being,Exercise,7.67
Extracurricular,Club Meetings,20.65
Academic,Classes/Lectures,9.87
Social,Parties/Gatherings,21.36
Academic,Study Sessions,13.85
Social,Family Events,14.16
Social,Family Events,14.2
Social,Family Events,14.39
Extracurricular,Sports Practices/Games,17.39
Extracurricular,Volunteer Activities,14.31
Personal,Errands/Chores,18.74
Personal,Doctor/Dentist Appointments,9.62
Personal,Doctor/Dentist Appointments,10.07
Academic,Classes/Lectures,8.66
Academic,Exams/Quizzes,18.29
Social,Parties/Gatherings,21.55
Well-being,Meditation/Yoga,13.79
Personal,Doctor/Dentist Appointments,10.18
Personal,Birthdays/Anniversaries,14.46
Well-being,Exercise,6.62
Well-being,Meditation/Yoga,13.27
Work,Work Meetings,16.6
Well-being,Meditation/Yoga,13.85
Extracurricular,Volunteer Activities,14.35
Personal,Doctor/Dentist Appointments,9.92
Work,Work Meetings,15.68
Personal,Doctor/Dentist Appointments,11.08
Extracurricular,Sports Practices/Games,16.43
Social,Family Events,14.95
Academic,Study Sessions,13.42
Well-being,Meditation/Yoga,13.3
Extracurricular,Sports Practices/Games,16.64
Social,Family Events,14.04
Well-being,Meditation/Yoga,14.69
Extracurricular,Sports Practices/Games,16.46
Work,Part-time Job Shifts,9.71
Well-being,Meditation/Yoga,13.14
Academic,Exams/Quizzes,19.69
Personal,Doctor/Dentist Appointments,9.23
Extracurricular,Club Meetings,19.47
Well-being,Meditation/Yoga,13.66
Academic,Classes/Lectures,11.76
Personal,Errands/Chores,18.56
Extracurricular,Sports Practices/Games,17.54
Well-being,Exercise,7.45
Work,Part-time Job Shifts,11.75
Well-being,Exercise,7.05
Work,Part-time Job Shifts,12.47
Personal,Errands/Chores,19.52
Academic,Exams/Quizzes,19.55
Academic,Study Sessions,14.23
Work,Part-time Job Shifts,11.6
Well-being,Exercise,6.91
Social,Parties/Gatherings,21.17
Social,Family Events,14.59
Personal,Errands/Chores,18.82
Academic,Study Sessions,13.59
Work,Part-time Job Shifts,9.43
Academic,Classes/Lectures,10.1
Social,Family Events,14.33
Extracurricular,Sports Practices/Games,16.6
Personal,Doctor/Dentist Appointments,11.67
Extracurricular,Volunteer Activities,14.2
Work,Work Meetings,15.35
Work,Part-time Job Shifts,12.58
Work,Part-time Job Shifts,10.67
Academic,Exams/Quizzes,18.43
Extracurricular,Volunteer Activities,14.99
Extracurricular,Sports Practices/Games,16.77
Academic,Classes/Lectures,10.88
Well-being,Exercise,6.49
Academic,Classes/Lectures,8.01
Social,Parties/Gatherings,22.53
Social,Family Events,14.94
Well-being,Meditation/Yoga,13.28
Well-being,Exercise,7.82
Work,Part-time Job Shifts,12.46
Social,Family Events,14.34
Extracurricular,Club Meetings,19.32
Personal,Birthdays/Anniversaries,14.07
Work,Work Meetings,15.23
Work,Part-time Job Shifts,11.8
Personal,Birthdays/Anniversaries,14.37
Social,Family Events,14.73
Work,Part-time Job Shifts,9.02
Social,Parties/Gatherings,22.04
Extracurricular,Sports Practices/Games,17.05
Work,Work Meetings,16.3
Social,Family Events,14.93
Well-being,Meditation/Yoga,13.03
Personal,Birthdays/Anniversaries,14.62
Extracurricular,Volunteer Activities,14.23
Extracurricular,Volunteer Activities,14.28
Well-being,Exercise,6.35
Social,Family Events,14.54
Work,Work Meetings,16.52
Extracurricular,Sports Practices/Games,17.82
Work,Part-time Job Shifts,9.62
Well-being,Exercise,6.83
Personal,Errands/Chores,18.67
Social,Parties/Gatherings,22.6
Social,Parties/Gatherings,21.46
Academic,Study Sessions,13.34
Academic,Exams/Quizzes,19.92
Personal,Doctor/Dentist Appointments,11.24
Well-being,Meditation/Yoga,13.74
Work,Part-time Job Shifts,11.79
Academic,Classes/Lectures,11.79
Academic,Classes/Lectures,9.08
Academic,Classes/Lectures,8.87
Personal,Doctor/Dentist Appointments,11.53
Well-being,Meditation/Yoga,13.74
Social,Parties/Gatherings,21.38
Academic,Exams/Quizzes,18.17
Academic,Study Sessions,14.41
Personal,Doctor/Dentist Appointments,10.7
Work,Part-time Job Shifts,10.43
Personal,Doctor/Dentist Appointments,11.18
Extracurricular,Club Meetings,20.67
Social,Family Events,14.53
Work,Part-time Job Shifts,11.63
Well-being,Meditation/Yoga,13.1
Academic,Study Sessions,13.56
Well-being,Exercise,7.13
Academic,Exams/Quizzes,19.45
Well-being,Meditation/Yoga,14.46
Social,Parties/Gatherings,21.89
Work,Work Meetings,15.32
Social,Family Events,14.87
Extracurricular,Sports Practices/Games,16.52
Extracurricular,Volunteer Activities,14.07
Academic,Classes/Lectures,8.2
Well-being,Meditation/Yoga,13.88
Work,Work Meetings,15.16
Academic,Exams/Quizzes,19.8
Academic,Study Sessions,14.79
Academic,Classes/Lectures,9.78
Well-being,Exercise,6.65
Social,Family Events,14.38
Personal,Doctor/Dentist Appointments,10.87
Personal,Errands/Chores,19.53
Academic,Study Sessions,13.03
Personal,Doctor/Dentist Appointments,9.42
Social,Family Events,14.38
Well-being,Meditation/Yoga,13.13
Extracurricular,Sports Practices/Games,17.14
Extracurricular,Volunteer Activities,14.14
Social,Parties/Gatherings,21.69
Well-being,Meditation/Yoga,14.22
Work,Part-time Job Shifts,9.67
Social,Family Events,14.74
Academic,Classes/Lectures,10.59
Social,Family Events,14.84
Extracurricular,Sports Practices/Games,17.02
Well-being,Meditation/Yoga,14.53
Social,Family Events,14.99
Academic,Study Sessions,14.45
Well-being,Meditation/Yoga,14.72
Well-being,Exercise,7.62
Extracurricular,Club Meetings,20.74
Extracurricular,Club Meetings,19.19
Personal,Birthdays/Anniversaries,14.92
Well-being,Exercise,6.82
Social,Family Events,14.13
Social,Parties/Gatherings,21.89
Academic,Exams/Quizzes,19.33
Extracurricular,Sports Practices/Games,17.22
Social,Family Events,14.89
Work,Work Meetings,15.39
Social,Family Events,14.45
Social,Parties/Gatherings,21.01
Academic,Exams/Quizzes,18.74
Well-being,Exercise,6.76
Personal,Errands/Chores,18.31
Academic,Exams/Quizzes,19.38
Social,Family Events,14.21
Well-being,Exercise,6.96
Social,Parties/Gatherings,21.87
Personal,Birthdays/Anniversaries,14.11
Personal,Birthdays/Anniversaries,14.36
Academic,Study Sessions,14.51
Academic,Exams/Quizzes,18.45
Well-being,Meditation/Yoga,14.51
Well-being,Exercise,7.79
Social,Family Events,14.55
Social,Parties/Gatherings,21.4
Work,Part-time Job Shifts,11.62
Well-being,Meditation/Yoga,14.56
Social,Family Events,14.48
Well-being,Exercise,6.7
Well-being,Exercise,7.97
Social,Parties/Gatherings,22.87
Extracurricular,Sports Practices/Games,17.63
Academic,Study Sessions,14.21
Well-being,Meditation/Yoga,13.04
Personal,Doctor/Dentist Appointments,11.19
Work,Work Meetings,16.95
Work,Work Meetings,16.91
Well-being,Meditation/Yoga,13.6
Extracurricular,Club Meetings,19.14
Academic,Classes/Lectures,8.17
Social,Parties/Gatherings,21.82
Work,Part-time Job Shifts,12.67
Work,Work Meetings,15.18
Social,Family Events,14.65
Academic,Study Sessions,14.6
Academic,Classes/Lectures,10.85
Extracurricular,Volunteer Activities,14.32
Extracurricular,Volunteer Activities,14.64
Work,Work Meetings,15.91
Extracurricular,Volunteer Activities,14.14
Social,Family Events,14.0
